ensembl_gene_id,ensembl_transcript_id,refseq,chromosome_name
ENSG00000167625,ENST00000301215,NM_133444,19
ENSG00000167625,ENST00000301215,NM_001314033,19
ENSG00000106633,ENST00000336642,NM_001354803,7
ENSG00000105372,ENST00000598742,NM_001321485,19
ENSG00000105372,ENST00000598742,NM_001022,19
ENSG00000168765,ENST00000369836,NM_000850,1
ENSG00000124104,ENST00000462307,NM_001042633,20
ENSG00000124104,ENST00000462307,NM_001042632,20
ENSG00000198336,ENST00000393450,NM_002476,17
ENSG00000173812,ENST00000469257,NM_005801,17
ENSG00000082458,ENST00000542398,NM_001166278,X
ENSG00000105372,ENST00000600467,NM_001321484,19
ENSG00000124104,ENST00000491381,NM_033421,20
ENSG00000067596,ENST00000540306,NM_001322219,17
ENSG00000067596,ENST00000540306,NM_001322220,17
ENSG00000067596,ENST00000540306,NM_001322218,17
ENSG00000067596,ENST00000540306,NM_001302623,17
ENSG00000221821,ENST00000408925,NM_001008739,6
ENSG00000198336,ENST00000354968,NM_001002841,17
ENSG00000124104,ENST00000342644,NM_152897,20
ENSG00000105372,ENST00000593863,NM_001321483,19
ENSG00000261115,ENST00000565468,NM_001195278,7
ENSG00000168765,ENST00000326729,NM_147148,1
ENSG00000067596,ENST00000262415,NM_001322216,17
ENSG00000067596,ENST00000262415,NM_001322221,17
ENSG00000067596,ENST00000262415,NM_001322217,17
ENSG00000067596,ENST00000262415,NM_004941,17
ENSG00000099203,ENST00000214869,NM_006858,19
ENSG00000125743,ENST00000391932,NM_177542,19
ENSG00000125743,ENST00000588301,NM_004597,19
ENSG00000129472,ENST00000397762,NM_032846,14
ENSG00000129472,ENST00000397762,NM_001163380,14
ENSG00000235569,ENST00000416819,NM_172165,CHR_HSCHR6_MHC_QBL_CTG1
ENSG00000021776,ENST00000156471,NM_014691,15
ENSG00000235569,ENST00000457917,NM_025259,CHR_HSCHR6_MHC_QBL_CTG1
ENSG00000150712,ENST00000280285,NM_001294343,5
ENSG00000150712,ENST00000382142,NM_001040446,5
ENSG00000150712,ENST00000264934,NM_001294344,5
ENSG00000158290,ENST00000371322,NM_001079872,X
ENSG00000204252,ENST00000229829,NM_002119,6
ENSG00000139687,ENST00000267163,NM_000321,13
ENSG00000158290,ENST00000336592,NM_001330624,X
ENSG00000011478,ENST00000012049,NM_017659,19
ENSG00000158290,ENST00000404115,NM_003588,X
ENSG00000170502,ENST00000302174,NM_024047,4
ENSG00000011478,ENST00000366382,NM_001163377,19
ENSG00000101849,ENST00000380961,NM_001139468,X
ENSG00000141258,ENST00000268989,NM_014853,17
ENSG00000118473,ENST00000237247,NM_001350217,1
ENSG00000163517,ENST00000295757,NM_024827,3
ENSG00000141258,ENST00000426855,NM_001098509,17
ENSG00000173976,ENST00000555978,NM_032753,19
ENSG00000170502,ENST00000473942,NM_198038,4
ENSG00000118473,ENST00000371039,NM_001308203,1
ENSG00000141258,ENST00000574563,NM_001346700,17
ENSG00000163517,ENST00000402271,NM_001330636,3
ENSG00000101849,ENST00000645353,NM_005647,X
ENSG00000184502,ENST00000329402,NM_000805,17
ENSG00000173976,ENST00000555633,NM_001319074,19
ENSG00000170502,ENST00000440591,NM_001248011,4
ENSG00000282230,ENST00000631491,NM_003816,CHR_HSCHR8_9_CTG1
ENSG00000100346,ENST00000404898,NM_001003406,22
ENSG00000118473,ENST00000371037,NM_001350218,1
ENSG00000118473,ENST00000371037,NM_032291,1
ENSG00000166634,ENST00000269491,NM_080474,18
ENSG00000100346,ENST00000402142,NM_021096,22
ENSG00000101849,ENST00000424279,NM_001139467,X
ENSG00000166634,ENST00000382768,NM_001307928,18
ENSG00000101849,ENST00000407597,NM_001139466,X
ENSG00000184838,ENST00000407149,NM_001300783,5
ENSG00000184838,ENST00000379551,NM_016644,5
ENSG00000163517,ENST00000522202,NM_001136041,3
ENSG00000223793,ENST00000447735,NM_020056,CHR_HSCHR6_MHC_DBB_CTG1
ENSG00000139679,ENST00000378434,NM_005767,13
ENSG00000184838,ENST00000505123,NM_001308087,5
ENSG00000184838,ENST00000505123,NM_001308088,5
ENSG00000139679,ENST00000345941,NM_001162497,13
ENSG00000108651,ENST00000261708,NM_018428,17
ENSG00000234539,ENST00000427136,NM_004381,CHR_HSCHR6_MHC_COX_CTG1
ENSG00000139679,ENST00000620633,NM_001162498,13
ENSG00000234539,ENST00000439240,NM_001136153,CHR_HSCHR6_MHC_COX_CTG1
ENSG00000221988,ENST00000361568,NM_138717,6
ENSG00000092203,ENST00000448790,NM_001303523,14
ENSG00000092203,ENST00000448790,NM_014828,14
ENSG00000153487,ENST00000338450,NM_198217,13
ENSG00000228813,ENST00000430849,NM_001300790,CHR_HSCHR6_MHC_DBB_CTG1
ENSG00000153487,ENST00000333219,NM_198219,13
ENSG00000196263,ENST00000308031,NM_001321768,19
ENSG00000196263,ENST00000308031,NM_020813,19
ENSG00000105369,ENST00000221972,NM_001783,19
ENSG00000167721,ENST00000301364,NM_018128,17
ENSG00000153487,ENST00000375775,NM_198218,13
ENSG00000228813,ENST00000417780,NM_001198858,CHR_HSCHR6_MHC_DBB_CTG1
ENSG00000274429,ENST00000614211,NM_004747,CHR_HSCHR10_1_CTG4
ENSG00000198382,ENST00000356136,NM_003369,11
ENSG00000276572,ENST00000614210,NM_153443,CHR_HSCHR19LRC_LRC_T_CTG3_1
ENSG00000105369,ENST00000444740,NM_021601,19
ENSG00000153487,ENST00000375774,NM_005537,13
ENSG00000221988,ENST00000375137,NM_001204103,6
ENSG00000153487,ENST00000464141,NM_001267728,13
ENSG00000182308,ENST00000333141,NM_001029955,4
ENSG00000106633,ENST00000403799,NM_001354800,7
ENSG00000106633,ENST00000403799,NM_000162,7
ENSG00000106633,ENST00000395796,NM_033508,7
ENSG00000176601,ENST00000358371,NM_001018044,2
ENSG00000106633,ENST00000345378,NM_033507,7
ENSG00000128591,ENST00000325888,NM_001458,7
ENSG00000221988,ENST00000324816,NM_005155,6
ENSG00000128591,ENST00000346177,NM_001127487,7
ENSG00000073670,ENST00000200557,NM_002390,17
ENSG00000126432,ENST00000265462,NM_001358511,11
ENSG00000126432,ENST00000265462,NM_012094,11
ENSG00000126432,ENST00000265462,NM_001358516,11
ENSG00000146809,ENST00000451215,NM_001290258,7
ENSG00000165819,ENST00000298717,NM_019852,14
ENSG00000171703,ENST00000361317,NM_198723,20
ENSG00000146809,ENST00000275699,NM_080928,7
ENSG00000126432,ENST00000352435,NM_181651,11
ENSG00000175595,ENST00000311895,NM_005236,16
ENSG00000126432,ENST00000347941,NM_181652,11
ENSG00000275658,ENST00000615091,NM_015868,CHR_HSCHR19LRC_LRC_T_CTG3_1
ENSG00000073670,ENST00000535346,NM_001318933,17
ENSG00000171611,ENST00000304672,NM_138296,6
ENSG00000171703,ENST00000343484,NM_003195,20
ENSG00000204314,ENST00000211413,NM_030651,6
ENSG00000188076,ENST00000342878,NM_145651,11
ENSG00000123472,ENST00000329231,NM_001042546,1
ENSG00000171611,ENST00000441198,NM_001243169,6
ENSG00000171611,ENST00000446507,NM_001243170,6
ENSG00000204314,ENST00000375150,NM_001363780,6
ENSG00000167720,ENST00000344595,NM_021947,17
ENSG00000171611,ENST00000616441,NM_001243168,6
ENSG00000123472,ENST00000532925,NM_001243728,1
ENSG00000129862,ENST00000250823,NM_004679,Y
ENSG00000129862,ENST00000250823,NM_181880,Y
ENSG00000115271,ENST00000437150,NM_012198,2
ENSG00000233151,ENST00000456152,NM_000500,CHR_HSCHR6_MHC_COX_CTG1
ENSG00000147408,ENST00000454498,NM_001354497,8
ENSG00000147408,ENST00000454498,NM_001354492,8
ENSG00000147408,ENST00000454498,NM_001354495,8
ENSG00000147408,ENST00000454498,NM_001354499,8
ENSG00000147408,ENST00000454498,NM_001130518,8
ENSG00000147408,ENST00000454498,NM_001354491,8
ENSG00000147408,ENST00000454498,NM_001354498,8
ENSG00000225452,ENST00000413786,NM_006913,CHR_HSCHR6_MHC_MCF_CTG1
ENSG00000167720,ENST00000574987,NM_001304803,17
ENSG00000147408,ENST00000332246,NM_001354477,8
ENSG00000147408,ENST00000332246,NM_001354480,8
ENSG00000147408,ENST00000332246,NM_001354489,8
ENSG00000147408,ENST00000332246,NM_001354485,8
ENSG00000147408,ENST00000332246,NM_018371,8
ENSG00000147408,ENST00000332246,NM_001354494,8
ENSG00000147408,ENST00000332246,NM_001354496,8
ENSG00000123472,ENST00000371937,NM_022745,1
ENSG00000123472,ENST00000542495,NM_001256418,1
ENSG00000115271,ENST00000233612,NM_001330268,2
ENSG00000115271,ENST00000233612,NM_001330266,2
ENSG00000115271,ENST00000233612,NM_001330265,2
ENSG00000115271,ENST00000233612,NM_001330267,2
ENSG00000115271,ENST00000233612,NM_001330270,2
ENSG00000115271,ENST00000233612,NM_001330271,2
ENSG00000147408,ENST00000522854,NM_001354476,8
ENSG00000147408,ENST00000522854,NM_001354481,8
ENSG00000147408,ENST00000522854,NM_001354475,8
ENSG00000147408,ENST00000522854,NM_001354483,8
ENSG00000147408,ENST00000522854,NM_001354487,8
ENSG00000147408,ENST00000522854,NM_001354484,8
ENSG00000147408,ENST00000522854,NM_001354488,8
ENSG00000147408,ENST00000522854,NM_001354490,8
ENSG00000276416,ENST00000627695,NM_020818,CHR_HSCHR14_7_CTG1
ENSG00000134184,ENST00000309851,NM_000561,1
ENSG00000197381,ENST00000389863,NM_015834,21
ENSG00000197381,ENST00000389863,NM_001160230,21
ENSG00000197381,ENST00000389863,NM_001346688,21
ENSG00000137161,ENST00000372836,NM_001318842,6
ENSG00000137161,ENST00000372836,NM_006586,6
ENSG00000137161,ENST00000372836,NM_001318845,6
ENSG00000186118,ENST00000334122,NM_001145474,1
ENSG00000186118,ENST00000415500,NM_001300864,1
ENSG00000134184,ENST00000349334,NM_146421,1
ENSG00000137161,ENST00000394142,NM_001318848,6
ENSG00000170271,ENST00000326080,NM_032385,5
ENSG00000186118,ENST00000564373,NM_001300863,1
ENSG00000113594,ENST00000263409,NM_002310,5
ENSG00000197381,ENST00000348831,NM_001112,21
ENSG00000177951,ENST00000325147,NM_016526,11
ENSG00000113594,ENST00000453190,NM_001127671,5
ENSG00000113594,ENST00000453190,NM_001364298,5
ENSG00000113594,ENST00000453190,NM_001364297,5
ENSG00000276416,ENST00000627404,NM_001346218,CHR_HSCHR14_7_CTG1
ENSG00000197381,ENST00000360697,NM_001346687,21
ENSG00000177951,ENST00000382762,NM_001098787,11
ENSG00000054965,ENST00000064778,NM_001286050,11
ENSG00000124882,ENST00000244869,NM_001432,4
ENSG00000176601,ENST00000392917,NM_001282883,2
ENSG00000184611,ENST00000332142,NM_033272,2
ENSG00000177606,ENST00000371222,NM_002228,1
ENSG00000197381,ENST00000437626,NM_015833,21
ENSG00000176601,ENST00000375844,NM_001018046,2
ENSG00000184611,ENST00000328032,NM_173162,2
ENSG00000054965,ENST00000450446,NM_001286051,11
ENSG00000228854,ENST00000464436,NM_001270710,CHR_HSCHR6_MHC_APD_CTG1
ENSG00000176601,ENST00000392918,NM_001018047,2
ENSG00000233151,ENST00000452386,NM_001368143,CHR_HSCHR6_MHC_COX_CTG1
ENSG00000233151,ENST00000452386,NM_001368144,CHR_HSCHR6_MHC_COX_CTG1
ENSG00000233151,ENST00000452386,NM_001128590,CHR_HSCHR6_MHC_COX_CTG1
ENSG00000134905,ENST00000257347,NM_001352252,13
ENSG00000134905,ENST00000257347,NM_024537,13
ENSG00000228854,ENST00000422664,NM_001270709,CHR_HSCHR6_MHC_APD_CTG1
ENSG00000228854,ENST00000422664,NM_001270708,CHR_HSCHR6_MHC_APD_CTG1
ENSG00000054965,ENST00000356467,NM_015159,11
ENSG00000277018,ENST00000620478,NM_182971,CHR_HSCHR14_7_CTG1
ENSG00000079805,ENST00000585892,NM_001190716,19
ENSG00000079805,ENST00000359692,NM_004945,19
ENSG00000228854,ENST00000427944,NM_007243,CHR_HSCHR6_MHC_APD_CTG1
ENSG00000233323,ENST00000404514,NM_032470,CHR_HSCHR6_MHC_COX_CTG1
ENSG00000250673,ENST00000636502,NM_001354631,4
ENSG00000153291,ENST00000371347,NM_001204051,6
ENSG00000153291,ENST00000371347,NM_004277,6
ENSG00000228854,ENST00000613827,NM_001270707,CHR_HSCHR6_MHC_APD_CTG1
ENSG00000241404,ENST00000333845,NM_030652,6
ENSG00000007062,ENST00000505450,NM_001145848,4
ENSG00000079805,ENST00000389253,NM_001005361,19
ENSG00000183691,ENST00000332822,NM_005450,17
ENSG00000167608,ENST00000619895,NM_144686,19
ENSG00000136305,ENST00000336557,NM_001318807,14
ENSG00000079805,ENST00000355667,NM_001005360,19
ENSG00000144278,ENST00000392825,NM_052917,2
ENSG00000007062,ENST00000508167,NM_001145847,4
ENSG00000136305,ENST00000258807,NM_014430,14
ENSG00000079805,ENST00000408974,NM_001005362,19
ENSG00000167608,ENST00000617472,NM_001145303,19
ENSG00000144278,ENST00000409237,NM_001301627,2
ENSG00000153291,ENST00000411689,NM_001204052,6
ENSG00000177947,ENST00000325113,NM_053280,11
ENSG00000101134,ENST00000262593,NM_018431,20
ENSG00000188171,ENST00000601440,NM_001076675,19
ENSG00000101134,ENST00000491469,NM_001294161,20
ENSG00000177947,ENST00000525282,NM_001286136,11
ENSG00000180113,ENST00000316081,NM_001010870,6
ENSG00000101134,ENST00000395939,NM_177959,20
ENSG00000188171,ENST00000291750,NM_145297,19
ENSG00000255307,ENST00000530810,NM_001004052,11
ENSG00000110651,ENST00000263645,NM_004356,11
ENSG00000180113,ENST00000544460,NM_001168359,6
ENSG00000213906,ENST00000533293,NM_019839,14
ENSG00000070366,ENST00000263073,NM_017575,17
ENSG00000185825,ENST00000458587,NM_001139457,X
ENSG00000213906,ENST00000543919,NM_001164692,14
ENSG00000180919,ENST00000316529,NM_001005181,11
ENSG00000224675,ENST00000434635,NM_001256368,2
ENSG00000160113,ENST00000291442,NM_005234,19
ENSG00000105479,ENST00000315396,NM_001364171,19
ENSG00000105479,ENST00000315396,NM_144577,19
ENSG00000176601,ENST00000375845,NM_025052,2
ENSG00000176601,ENST00000375845,NM_001321177,2
ENSG00000182986,ENST00000597909,NM_001351777,19
ENSG00000181392,ENST00000324444,NM_001039876,19
ENSG00000213903,ENST00000345363,NM_001143919,14
ENSG00000237093,ENST00000617292,NM_001348249,CHR_HSCHR6_MHC_SSTO_CTG1
ENSG00000213903,ENST00000396789,NM_181657,14
ENSG00000110651,ENST00000526072,NM_001297649,11
ENSG00000007062,ENST00000447510,NM_006017,4
ENSG00000007062,ENST00000540805,NM_001145851,4
ENSG00000007062,ENST00000540805,NM_001145849,4
ENSG00000109511,ENST00000359299,NM_007193,4
ENSG00000007062,ENST00000539194,NM_001145852,4
ENSG00000007062,ENST00000539194,NM_001145850,4
ENSG00000185825,ENST00000345046,NM_001256447,X
ENSG00000185825,ENST00000345046,NM_005745,X
ENSG00000185825,ENST00000345046,NM_001139441,X
ENSG00000181392,ENST00000340477,NM_001297735,19
ENSG00000160229,ENST00000344519,NM_001355197,19
ENSG00000234846,ENST00000411774,NM_000434,CHR_HSCHR6_MHC_SSTO_CTG1
ENSG00000182986,ENST00000595635,NM_001351776,19
ENSG00000182986,ENST00000595635,NM_001351774,19
ENSG00000182986,ENST00000595635,NM_001351775,19
ENSG00000137441,ENST00000259989,NM_031950,4
ENSG00000070366,ENST00000573166,NM_001282326,17
ENSG00000234674,ENST00000446038,NM_001318908,CHR_HSCHR6_MHC_SSTO_CTG1
ENSG00000234674,ENST00000446038,NM_007109,CHR_HSCHR6_MHC_SSTO_CTG1
ENSG00000213366,ENST00000241337,NM_000848,1
ENSG00000234674,ENST00000416433,NM_001077511,CHR_HSCHR6_MHC_SSTO_CTG1
ENSG00000237440,ENST00000427401,NM_001159293,19
ENSG00000070366,ENST00000354901,NM_001256827,17
ENSG00000011451,ENST00000263381,NM_021241,19
ENSG00000183706,ENST00000328795,NM_001005241,15
ENSG00000121060,ENST00000316881,NM_005082,17
